Car_name,Model_year,Present_price,Cost_price,Reselling_price,Km_driven,Fuel,Seller,transmission,owner,Seats,Location,Mileage,Engine,Power
Maruti 800 AC,2007,5.59,3.2,3.35,70000,Petrol,Individual,Manual,First Owner,5,Mumbai,26.6 km/kg,998 CC,58.16 bhp
Maruti Wagon R LXI Minor,2007,9.54,4.6,4.75,50000,Petrol,Individual,Manual,First Owner,5,Pune,19.67 kmpl,1582 CC,126.2 bhp
Hyundai Verna 1.6 SX,2012,9.85,7.1,7.25,100000,Diesel,Individual,Manual,First Owner,5,Chennai,18.2 kmpl,1199 CC,88.7 bhp
Datsun RediGO T Option,2017,4.15,2.7,2.85,46000,Petrol,Individual,Manual,First Owner,7,Chennai,20.77 kmpl,1248 CC,88.76 bhp
Honda Amaze VX i-DTEC,2014,6.87,4.45,4.6,141000,Diesel,Individual,Manual,Second Owner,5,Coimbatore,15.2 kmpl,1968 CC,140.8 bhp
Maruti Alto LX BSIII,2007,9.83,9.1,9.25,125000,Petrol,Individual,Manual,First Owner,5,Hyderabad,21.1 km/kg,814 CC,55.2 bhp
Hyundai Xcent 1.2 Kappa S,2016,8.12,6.6,6.75,25000,Petrol,Individual,Manual,First Owner,5,Jaipur,23.08 kmpl,1461 CC,63.1 bhp
Tata Indigo Grand Petrol,2014,8.61,6.35,6.5,60000,Petrol,Individual,Manual,Second Owner,8,Mumbai,11.36 kmpl,2755 CC,171.5 bhp
Hyundai Creta 1.6 VTVT S,2015,8.89,8.6,8.75,25000,Petrol,Individual,Manual,First Owner,5,Pune,20.54 kmpl,1598 CC,103.6 bhp
Maruti Celerio Green VXI,2017,8.92,7.3,7.45,78000,CNG,Individual,Manual,First Owner,5,Chennai,22.3 kmpl,1248 CC,74 bhp
Chevrolet Sail 1.2 Base,2015,3.6,2.7,2.85,35000,Petrol,Individual,Manual,First Owner,5,Kochi,21.56 kmpl,1462 CC,103.25 bhp
Tata Indigo Grand Petrol,2014,10.38,6.7,6.85,100000,Petrol,Individual,Manual,First Owner,5,Kolkata,16.8 kmpl,1497 CC,116.3 bhp
Toyota Corolla Altis 1.8 VL CVT,2018,9.94,7.35,7.5,25000,Petrol,Dealer,Automatic,First Owner,5,Jaipur,25.2 kmpl,1248 CC,74 bhp
Maruti 800 AC,2007,7.71,5.95,6.1,70000,Petrol,Individual,Manual,First Owner,5,Delhi,12.7 kmpl,2179 CC,187.7 bhp
Maruti Wagon R LXI Minor,2007,7.21,2.1,2.25,50000,Petrol,Individual,Manual,First Owner,5,Pune,0.0 kmpl,2179 CC,115 bhp
Hyundai Verna 1.6 SX,2012,10.79,7.6,7.75,100000,Diesel,Individual,Manual,First Owner,7,Delhi,13.5 kmpl,2477 CC,175.56 bhp
Datsun RediGO T Option,2017,10.79,7.1,7.25,46000,Petrol,Individual,Manual,First Owner,5,Kochi,25.8 kmpl,1498 CC,98.6 bhp
Honda Amaze VX i-DTEC,2014,10.79,7.6,7.75,141000,Diesel,Individual,Manual,Second Owner,5,Jaipur,28.4 kmpl,1248 CC,74 bhp
Maruti Alto LX BSIII,2007,5.09,3.1,3.25,125000,Petrol,Individual,Manual,First Owner,5,Kochi,20.45 kmpl,1461 CC,83.8 bhp
Hyundai Xcent 1.2 Kappa S,2016,7.98,2.5,2.65,25000,Petrol,Individual,Manual,First Owner,5,Bangalore,14.84 kmpl,2143 CC,167.62 bhp
Tata Indigo Grand Petrol,2014,3.95,2.7,2.85,60000,Petrol,Individual,Manual,Second Owner,5,Kochi,22.69 kmpl,1995 CC,190 bhp
Hyundai Creta 1.6 VTVT S,2015,5.71,4.75,4.9,25000,Petrol,Individual,Manual,First Owner,5,Bangalore,23.65 kmpl,1248 CC,88.5 bhp
Maruti Celerio Green VXI,2017,8.01,4.25,4.4,78000,CNG,Individual,Manual,First Owner,5,Mumbai,13.53 kmpl,1984 CC,177.01 bhp
Chevrolet Sail 1.2 Base,2015,3.46,2.35,2.5,35000,Petrol,Individual,Manual,First Owner,5,Kolkata,18.5 kmpl,1197 CC,80 bhp
Tata Indigo Grand Petrol,2014,4.41,2.75,2.9,100000,Petrol,Individual,Manual,First Owner,5,Kolkata,14.4 kmpl,1598 CC,103.6 bhp
Toyota Corolla Altis 1.8 VL CVT,2018,4.99,2.85,3,25000,Petrol,Dealer,Automatic,First Owner,5,Mumbai,16.8 kmpl,1497 CC,116.3 bhp
Maruti Ciaz VXi Plus,2015,5.87,4,4.15,24000,Petrol,Dealer,Manual,First Owner,5,Hyderabad,23.08 kmpl,1461 CC,63.1 bhp
Hyundai Venue SX Opt Diesel,2019,6.49,5.85,6,5000,Diesel,Dealer,Manual,First Owner,5,Hyderabad,20.92 kmpl,998 CC,67.1 bhp
